"","ID2","lat","long","el"
"1",4601133,47.7103004456,-122.3679733276,"."
"2",6913373,48.0243496245,-122.6784553527,"."
"3",8254344,48.018843,-122.671725,"."
"4",12363639,47.6226150776,-117.0557749808,"."
"5",12563075,46.2137060812,-115.537214935,"."
"6",12969530,47.002998477,-116.677039665,"."
"7",19006459,45.487538793,-122.5718280809,"."
"8",19184654,47.7430914414,-122.3109349687,"."
"9",20544675,48.4761422127,-123.3113130648,"."
"10",25981751,48.4574580791,-123.335596862,"."
"11",26204238,48.4959589876,-123.3322602239,"."
"12",26884358,48.4566683189,-123.324836362,"."
"13",27216264,48.0204805556,-122.6987,"."
"14",27742079,48.7738250189,-123.9218526706,"."
"15",28711929,48.4595301194,-123.3357877623,"."
"16",29603942,48.4579203438,-123.3131297868,"."
"17",32015164,48.4377004757,-123.3262594284,"."
"18",37020791,48.4522189778,-123.3339328835,"."
"19",37281634,48.4656098637,-123.3000747462,"."
"20",48715992,49.2104824,-122.5237505,"."
"21",49543580,45.4021694444,-121.5705472222,"."
"22",50208705,45.47232,-122.653725,"."
"23",51552951,49.3392528,-122.9737917,"."
"24",51656142,49.319717218,-122.9689331866,"."
"25",51849686,45.5162883333,-122.5966416667,"."
"26",52964145,47.6509785313,-122.3072987795,"."
"27",52996969,45.5276366667,-122.73137,"."
"28",53230757,49.2409174,-122.8086868,"."
"29",53539955,49.1915136,-122.6040854,"."
"30",53766205,48.4625312452,-123.3567977925,"."
"31",55095755,45.3880116667,-122.8368616667,"."
"32",57555960,49.1847692967,-122.7737085567,"."
"33",57676245,44.8503555556,-121.8456972222,"."
"34",57888423,49.3440217133,-123.0047542833,"."
"35",58576022,49.77567643,-123.1109970667,"."
"36",58862868,49.3902320967,-123.3506584733,"."
"37",60516594,49.3768795717,-123.331412925,"."
"38",61398540,47.6614026155,-122.2832440962,"."
"39",61399467,48.1705133577,-122.1901978925,"."
"40",61400313,47.6751263319,-122.2610672191,"."
"41",61401102,47.6761844239,-122.2620814294,"."
"42",61401305,47.6761706532,-122.2624612972,"."
"43",61401534,48.4179449564,-122.5708103925,"."
"44",61423931,47.6654002946,-122.2830562674,"."
"45",61537163,49.5516249567,-123.2381864917,"."
"46",61624246,47.7494723567,-122.2079986731,"."
"47",61624408,47.750082372,-122.2083493488,"."
"48",61624619,47.750931613,-122.2077266787,"."
"49",61923541,49.6453608117,-123.2046451717,"."
"50",62133383,47.1098824501,-121.8078283388,"."
"51",62139519,47.188739637,-122.3279077002,"."
"52",62243128,48.4605392581,-122.603415996,"."
"53",62250074,48.4631052101,-122.6036728175,"."
"54",62264694,48.4735473851,-122.6052082983,"."
"55",63186072,47.5499451813,-122.2555292119,"."
"56",63253840,47.4873686833,-121.7194069,"."
"57",63255638,47.4874740833,-121.719034,"."
"58",63298788,47.30351667,-122.516525,"."
"59",63298939,47.49236667,-122.06390283,"."
"60",63522352,48.77449167,-122.48045333,"."
"61",63842953,46.9126149119,-122.928994596,"."
"62",63843211,46.9305018039,-122.9364521429,"."
"63",64575034,48.73001167,-122.30381667,"."
"64",64707952,49.3241004942,-122.9444732664,"."
"65",65241620,46.7251093693,-117.0099777327,"."
"66",65344987,47.0751628056,-122.9717604071,"."
"67",65345686,47.0734039722,-122.974052,"."
"68",65346596,47.073191,-122.973572,"."
"69",65827522,47.24783333,-122.48095833,"."
"70",65827983,47.24966333,-122.48195,"."
"71",65828255,47.667575,-122.28566667,"."
"72",65988466,47.869898,-117.15701,"."
"73",66016390,49.213897705,-122.9076461792,"."
